mes,igpm_percent
2019-03,1.26
2019-04,0.92
2019-05,0.45
2019-06,0.80
2019-07,0.40
2019-08,-0.67
2019-09,-0.01
2019-10,0.68
2019-11,0.30
2019-12,2.09
2020-01,0.48
2020-02,-0.04
2020-03,1.24
2020-04,0.80
2020-05,0.28
2020-06,1.56
2020-07,2.23
2020-08,2.74
2020-09,4.34
2020-10,3.23
2020-11,3.28
2020-12,0.96
2021-01,2.58
2021-02,2.53
2021-03,2.94
2021-04,1.51
2021-05,4.10
2021-06,0.60
2021-07,0.78
2021-08,0.66
2021-09,-0.64
2021-10,0.64
2021-11,0.02
2021-12,0.87
2022-01,1.82
2022-02,1.83
2022-03,1.74
2022-04,1.41
2022-05,0.52
2022-06,0.59
2022-07,0.21
2022-08,-0.70
2022-09,-0.95
2022-10,-0.97
2022-11,-0.56
2022-12,0.45
2023-01,0.21
2023-02,-0.06
2023-03,0.05
2023-04,-0.95
2023-05,-1.84
2023-06,-1.93
2023-07,-0.72
2023-08,-0.14
2023-09,0.37
2023-10,0.50
2023-11,0.59
2023-12,0.74
2024-01,0.07
2024-02,-0.52
2024-03,-0.47
2024-04,0.31
2024-05,0.89
2024-06,0.81
2024-07,0.61
2024-08,0.29
2024-09,0.62
2024-10,1.52
2024-11,1.30
2024-12,0.94
2025-01,0.27
2025-02,1.06
2025-03,-0.34
2025-04,0.24
2025-05,-0.49
2025-06,-1.67
2025-07,-0.77
2025-08,0.36
2025-09,0.42
2025-10,-0.36
2025-11,0.27
2025-12,-0.01
2026-01,0.41
2026-02,-0.73
