mes,ipca_percent
2021-03,0.93
2021-04,0.31
2021-05,0.83
2021-06,0.53
2021-07,0.96
2021-08,0.87
2021-09,1.16
2021-10,1.25
2021-11,0.95
2021-12,0.73
2022-01,0.54
2022-02,1.01
2022-03,1.62
2022-04,1.06
2022-05,0.47
2022-06,0.67
2022-07,-0.68
2022-08,-0.36
2022-09,-0.29
2022-10,0.59
2022-11,0.41
2022-12,0.62
2023-01,0.53
2023-02,0.84
2023-03,0.71
2023-04,0.61
2023-05,0.23
2023-06,-0.08
2023-07,0.12
2023-08,0.23
2023-09,0.26
2023-10,0.24
2023-11,0.28
2023-12,0.56
2024-01,0.42
2024-02,0.83
2024-03,0.16
2024-04,0.38
2024-05,0.46
2024-06,0.21
2024-07,0.38
2024-08,-0.02
2024-09,0.44
2024-10,0.56
2024-11,0.39
2024-12,0.52
2025-01,0.16
2025-02,1.31
2025-03,0.56
2025-04,0.43
2025-05,0.26
2025-06,0.24
2025-07,0.26
2025-08,-0.11
2025-09,0.48
2025-10,0.09
2025-11,0.18
2025-12,0.33
2026-01,0.33
2026-02,0.70
